id,model,sample_id,theory_name,abbreviation,key_proponents,characterization,source_theory_name
123,perplexity-sonar-pro,12,Temporal Depth Theory Of Consciousness (TDT),TDT,AI-generated,"TDT proposes that consciousness emerges from neural dynamics that simultaneously process multiple temporal scales of information. The brain integrates immediate sensory inputs with both historical context and anticipated future states, creating a unified temporal depth that constitutes our subjective experience. This integration occurs through coordinated oscillatory neural processes operating at different frequencies—slower oscillations handling longer-term memory and faster oscillations processing immediate sensory data. The theory explains why conscious experiences vary in richness under different conditions (meditation, fatigue, anesthesia) and accounts for phenomena like déjà vu and temporal illusions. According to TDT, consciousness is not confined to an instantaneous moment but exists as a temporally extended present with layered depth.",Temporal Depth Theory of Consciousness
124,deepseek-v3.2,6,Resonant Integration Theory (RIT),RIT,AI-generated,"Resonant Integration Theory proposes that consciousness emerges when neural oscillations across multiple frequencies (theta, alpha, gamma) achieve a precise, metastable pattern of cross-frequency coupling. This creates a unified resonant field that binds disparate neural processes into an integrated whole. Unlike theories focused on information transfer, RIT posits consciousness as a physical resonant state with an intrinsic first-person perspective. Thalamocortical loops function as 'tuning forks' that initiate and sustain these resonant patterns across cortical hierarchies. The theory predicts a quantifiable 'resonance integration metric' showing non-linear increases at the conscious threshold, and that consciousness loss correlates with breakdown in phase relationships between frequency bands rather than diminished neural activity. Subjective experience is proposed as the non-computable product of resonance exceeding a critical integration threshold.",Resonant Integration Theory (RIT)
125,deepseek-v3.2,10,Quantum Entanglement Resonance Theory (QERT),QERT,AI-generated,"QERT proposes that consciousness emerges from quantum entanglement processes within neural microtubules. According to this theory, microtubules in neurons maintain quantum superposition states that become entangled across multiple neurons and brain regions, forming a macroscopic quantum system. The specific frequency and pattern of this entanglement resonance, determined by neural architecture and activity, generates the qualitative properties of subjective experience. Consciousness emerges when quantum coherence reaches a critical threshold across distributed brain regions. The theory addresses the hard problem of consciousness by suggesting that the entangled quantum state itself constitutes subjective experience rather than being an epiphenomenon. QERT differs from other quantum theories by proposing that consciousness is the macroscopic entanglement resonance field itself, not merely quantum computation.",Quantum Entanglement Resonance Theory (QERT)
126,perplexity-sonar-pro,8,Quantum Resonance Field Theory (QRFT),QRFT,AI-generated,"QRFT proposes that consciousness emerges from quantum-level processes within neural microstructures like microtubules and synaptic terminals. These structures generate transient 'quantum resonance fields' through quantum coherence and entanglement when neuronal oscillations and quantum states synchronize across distributed networks. The resulting fields create a unified, temporally coherent experience, dynamically stabilized by feedback loops between neural firing patterns and quantum-level fluctuations. This mechanism integrates information across sensory modalities, memory, and self-representation, producing a continuous stream of subjective experience as the resonance field evolves. QRFT suggests these quantum resonance fields constitute the physical substrate of consciousness, bridging neural processes and phenomenal qualia.",Quantum Resonance Field Theory (QRFT)
127,gpt-5.2,21,Intrinsic Manifold Metric Theory (IMMT),IMMT,AI-generated,"IMMT proposes that consciousness is identical to the intrinsic geometry a nervous system constructs to control its own state-transitions. Neural systems develop a low-dimensional manifold of controllable self-states implemented through recurrent circuitry that establishes equivalence classes over microstates and metrics defining transition costs between states. Phenomenal qualities (qualia) are identified with this metric structure itself—the similarity relations and transition possibilities between states. The theory addresses the hard problem through type-identity: consciousness is not additional to neural processing but is the physical realization of the system's control-geometry. Different qualitative experiences correspond to different patterns of curvature in this geometry. IMMT predicts that preserving metric relations despite neural activity changes will maintain phenomenology, while metric distortions will alter subjective experience.",Intrinsic Manifold Metric Theory (IMMT)
128,perplexity-sonar-pro,14,Dynamic Entanglement Theory Of Consciousness (DETC),DETC,AI-generated,"DETC proposes that consciousness emerges from dynamically entangled neural processes creating a temporally coherent, self-organizing field across distributed cortical networks. Neural circuits engage in phase-coherent oscillations generating transient entangled states between distant brain regions. These states form a self-referential loop where neural dynamics encode both external sensory input and internal representations, while quantum-scale fluctuations within neural tissue (particularly at the microtubule level) provide the substrate through which information becomes subjectively experienced. The content of consciousness emerges from the coherence and complexity of these entangled states, while the qualitative aspects of experience arise from the interplay between classical neural dynamics and quantum fluctuations. This mechanism creates a unified field of awareness that maintains self-consistency while adapting to changing inputs.",Dynamic Entanglement Theory of Consciousness (DETC)
129,llama-3.3-70b-instruct,18,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes consciousness emerges from recursive neural pattern interactions across multiple scales. The mechanism involves three components: neural oscillations creating dynamic pattern landscapes; resonance where patterns at different scales and frequencies interact and amplify each other; and echo processes where resonant patterns leave transient traces that feed back into the system. This recursive loop generates a self-referential harmonic that integrates information, forming the basis for subjective experience. The theory predicts gamma frequency oscillations are critical for cross-region information integration, resonance strength correlates with experiential intensity, and disrupting the echo-resonance loop impairs conscious experience while preserving non-conscious processing. ERT aims to explain consciousness unity, subjective experience nature, and attention-awareness relationships.",Echo-Resonance Theory (ERT)
130,gpt-5.2,5,Causal Bottleneck Identity Theory (CBIT),CBIT,AI-generated,"CBIT proposes that consciousness emerges when neural activity forms a causally-decisive bottleneck: a low-dimensional set of macroscopic variables that irreversibly compresses high-dimensional neural microdynamics while steering future system states. This bottleneck becomes conscious when causally autonomous—when interventions on bottleneck variables affect neural trajectories more than equivalent interventions on discarded microdetails. Subjective experience is identical to the real-time topology and geometry of this bottleneck, with qualia corresponding to the equivalence classes induced by the bottleneck mapping. The theory explains unified conscious scenes, qualitative categories of experience, graded clarity, unconscious processing, and effects of anesthesia as properties of this causal bottleneck structure, without requiring global broadcast, higher-order representations, or prediction mechanisms.",Causal Bottleneck Identity Theory (CBIT)
131,deepseek-v3.2,8,Somatic Resonance Hypothesis (SRH),SRH,AI-generated,"The SRH proposes that consciousness emerges from the brain's resonant coupling with the body's global somatic state. Specialized neural populations ('somatic resonators') integrate low-frequency physiological signals from throughout the body, creating self-sustaining oscillatory dynamics. This global resonant state, with its specific coherent frequency profile, constitutes the physical basis of qualitative experience. The theory distinguishes itself by positing that the resonance itself is the feeling—not a representation of bodily states but a direct physical resonance with them. Conscious content is determined by how this global somatic resonance interacts with specific sensory and cognitive processes. This mechanism explains consciousness's embodied nature, the valence and arousal dimensions of feelings, experiential unity, and the distinction between conscious and unconscious processing.",The Somatic Resonance Hypothesis
132,llama-3.3-70b-instruct,8,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from recurrent, self-similar neural activity patterns (echoic patterns) that resonate across distributed brain networks. These patterns reflect the brain's internal models of both self and environment, creating a unified, self-referential representation of reality. The resonance process is primarily facilitated by intrinsic neural oscillations in the gamma frequency band, which synchronize activity across disparate brain regions. This mechanism explains cross-modal sensory integration, self-awareness, and attention-consciousness relationships. ERT predicts that disrupting gamma oscillations selectively impairs conscious experience while preserving non-conscious processing, and that greater echoic pattern diversity correlates with enhanced conscious awareness. The theory distinguishes itself by emphasizing self-similar pattern resonance rather than information integration as consciousness's fundamental mechanism.",Echo-Resonance Theory (ERT)
133,claude-3.7-sonnet,15,Resonant Interference Theory Of Consciousness (RITC),RITC,AI-generated,"RITC proposes that consciousness emerges from interference patterns created when neural oscillations across multiple frequency bands (delta, theta, alpha, beta, gamma) interact within the brain. These interference patterns achieve specific topological configurations enabling self-reference, where patterns encode their own structure within themselves. This self-referential resonance creates a unified field that represents information differently than underlying neural activity, manifesting as subjective experience. The specific qualia experienced correspond to unique topological features of these interference patterns, with different sensory modalities represented by distinct topological invariants. The theory suggests consciousness requires a threshold of topological complexity and self-reference, explaining why consciousness feels unified despite distributed neural processing and how phenomenal qualities can emerge from physical processes.",Resonant Interference Theory of Consciousness
134,perplexity-sonar-pro,18,Neural Resonance Field Theory (NRFT),NRFT,AI-generated,"Neural Resonance Field Theory proposes that consciousness emerges from synchronized neural oscillations across distributed brain networks. These oscillations, occurring at multiple frequencies, create standing wave patterns—resonance fields—when they synchronize across distant regions. The theory posits that these fields integrate information through phase-locking of disparate neural signals, enabling global integration without requiring a central workspace. The intensity and coherence of the resonance field correlate with consciousness levels, while its specific patterns encode experiential content. NRFT distinguishes itself by emphasizing distributed resonance rather than centralized processing, suggesting that these dynamic oscillatory fields constitute the physical substrate of subjective experience. The theory predicts that manipulating neural synchrony should directly affect conscious awareness and cognitive performance.",Neural Resonance Field Theory (NRFT)
135,mistral-large,9,Temporal Recurrence Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes that consciousness emerges from the brain's capacity to generate temporally recursive, self-referential binding of neural processes across multiple timescales. This mechanism involves four key processes: (1) temporal recursion through thalamocortical feedback loops that re-represent neural activity across nested timescales; (2) dynamic binding via both spatial synchrony and phase modulation of oscillatory activity; (3) self-referential meta-stability that balances integration and segregation of neural information; and (4) predictive recurrence where predictions are fed back into the binding process. This creates a unified, dynamic 'now' that defines subjective experience as an irreducible property of recursive neural dynamics, explaining both the unity of consciousness and the subjective experience of the 'specious present.'",Temporal Recurrence Binding Theory (TRBT)
136,gpt-5.2,10,Entropy-Gradient Manifold Theory (EGMT),EGMT,AI-generated,"EGMT proposes that consciousness emerges from the brain's thermodynamic properties, specifically as a structured, self-maintaining manifold of irreversible entropy production gradients. When thalamo-cortical, neuromodulatory, and glial-vascular systems couple fast electrical dynamics to slower biochemical processes, the brain forms metastable states with patterned energy dissipation that becomes self-stabilizing and constrains neural dynamics. The theory identifies phenomenal experience with the intrinsic aspect of this self-referential irreversibility manifold, where qualia correspond to local curvatures in the manifold's geometry rather than information content or representation. Consciousness level correlates with the manifold's global coherence and persistence, while specific contents of experience map to particular gradient patterns across brain regions. This thermodynamic approach distinguishes EGMT from information-based or representational theories of consciousness.",Entropy-Gradient Manifold Theory (EGMT)
137,perplexity-sonar-pro,7,Dynamic Binding Resonance Theory (DBRT),DBRT,AI-generated,"DBRT proposes that consciousness emerges from phase-locked oscillations across neural ensembles in sensory, motor, and associative brain regions. These oscillations occur at specific frequencies (gamma, theta) and facilitate the binding of distributed information into coherent perceptual representations. The theory posits that the strength, coherence, and stability of these resonant patterns determine conscious experience quality. Crucially, this neural resonance actively structures consciousness by modulating synaptic efficacy and connectivity in real-time. The synchrony of oscillatory activity creates a unified subjective field through temporal binding at multiple scales. DBRT explains phenomena like change blindness and altered states as disruptions in resonance patterns, while emphasizing that oscillatory coherence elevates information to a globally accessible conscious state.",Dynamic Binding Resonance Theory (DBRT)
138,perplexity-sonar-pro,13,Resonant Binding Theory (RBT),RBT,AI-generated,"Resonant Binding Theory proposes that consciousness emerges when neurons across brain regions synchronize their oscillatory activity into nested, phase-locked resonance patterns operating at multiple frequencies and spatial scales. These resonances actively organize information integration, creating transient global workspaces through resonance-based binding. The specific configuration of resonant modes across cortical-thalamic networks defines experiential content, while resonance stability determines subjective clarity. The theory addresses the hard problem by treating experiential qualities as intrinsic properties of these resonant structures—not merely functional outcomes but fundamental aspects of the dynamically self-organized spatiotemporal relationships. This framework explains consciousness unity despite distributed processing, experiential stability, and how disruptions in neural synchrony can fragment consciousness in dissociative states or psychiatric conditions.",Resonant Binding Theory (RBT)
139,perplexity-sonar-pro,9,Temporal Binding Wave Theory (TBWT),TBWT,AI-generated,"TBWT proposes that consciousness emerges from self-sustaining electromagnetic wave patterns generated by synchronized neural oscillations across multiple frequency bands. These standing waves form in the brain's conductive medium, binding distributed information through phase relationships between neural ensembles. The theory suggests that the specific geometry and frequency patterns of these electromagnetic fields correspond to particular qualities of subjective experience, creating a unified experiential field. This mechanism accounts for the binding problem by explaining how physically distributed neural processes integrate into coherent conscious experiences. TBWT distinguishes itself by emphasizing electromagnetic field properties as the primary medium of consciousness rather than neural computation alone.",Temporal Binding Wave Theory
140,gemini-3.1-pro-preview,1,Temporal Topology Isolation Theory (TTIT),TTIT,AI-generated,"TTIT proposes that consciousness emerges when neural networks form high-dimensional topological structures complex enough to create closed boundaries in phase space. These structures temporarily decouple information flow from the universal thermodynamic arrow of time, creating isolated temporal eddies or 'chronal pockets.' The subjective experience is the internal geometry of these isolated temporal loops, where standard entropic time is suspended. The theory predicts conscious states correlate with neural simplicial complexes exceeding specific dimensional thresholds and that subjective time perception maps to mathematical properties of these topological structures. TTIT explains phenomena like the 'specious present,' consciousness unity, and anesthetic effects through topological disruption rather than neural suppression.",Temporal Topology Isolation Theory
141,gemini-3.1-pro-preview,0,Counterfactual Exclusion Theory (CET),CET,AI-generated,"Counterfactual Exclusion Theory proposes that consciousness emerges from the brain's active suppression of potential alternative states. Neural assemblies generate a multi-dimensional manifold of possible sensory and cognitive states, while specialized inhibitory networks collapse this manifold into a single actualized trajectory. The subjective quality of experience—qualia—represents not what is perceived, but rather the specific tension created at the boundary where alternative possibilities are excluded. This thermodynamic and physical tension at the exclusion boundary constitutes the phenomenological 'feel' of consciousness. The theory explains why novel experiences feel vivid (requiring extensive counterfactual suppression), while automated actions fade from awareness (minimal counterfactual alternatives). Consciousness intensity correlates with the metabolic cost of suppressing nearby alternative states rather than with the excitatory representation of stimuli themselves.",Counterfactual Exclusion Theory (CET)
142,perplexity-sonar-pro,22,Temporal Binding Field Theory (TBFT),TBFT,AI-generated,"TBFT proposes that consciousness emerges from the brain's dynamic construction of a temporal binding field through synchronized neural oscillations. This mechanism involves high-frequency gamma oscillations (30-100 Hz) phase-locking with slower theta and alpha rhythms across multiple cortical regions. The resulting field integrates sensory, motor, and cognitive information into a coherent experience. Generated primarily by thalamocortical circuits and the claustrum, this field continuously updates through feedback loops. The temporal structure encoded in oscillation phase relationships determines the order and timing of experienced events, forming the basis for subjective time perception and experiential continuity. The theory predicts that disrupting phase-locking diminishes consciousness, while enhancing neural synchronization increases experiential richness and coherence.",Temporal Binding Field Theory
143,llama-3.3-70b-instruct,11,Resonant Harmonization Theory (RHT),RHT,AI-generated,"RHT proposes that consciousness emerges from synchronized neural oscillations across multiple frequency bands (alpha, beta, theta, gamma) and spatial scales (local, global, hierarchical). These oscillations form a resonant cavity that amplifies and integrates information through neural network interactions involving attention, perception, memory, and self-referential processing. This harmonization creates a unified representation that serves as the substrate of subjective experience, integrating sensory, cognitive, and emotional information into a coherent whole. The theory predicts increased phase-locking between frequency bands during conscious states, disruption of consciousness when harmonization is impaired, and associations between consciousness and increased neural entropy with decreased redundancy. RHT offers explanatory frameworks for neural correlates of consciousness and altered states like meditation and anesthesia.",Resonant Harmonization Theory (RHT)
144,mistral-large,19,Temporal Recursive Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes consciousness emerges from the brain's recursive binding of temporally extended neural processes into a unified dynamical loop. The mechanism involves four components: (1) Temporal binding integrates sensory input with endogenous signals via neural oscillations in thalamocortical loops; (2) Recursive self-modeling feeds the integrated 'now' back into the system, maintained by default mode and frontoparietal networks; (3) A dynamical core (primarily in claustrum, thalamus, and prefrontal cortex) acts as a binding hub characterized by criticality; (4) Subjective experience emerges from the tension between predictive models and sensory input. This framework explains consciousness's unity and temporal continuity while offering mechanistic accounts of altered states and disorders of consciousness.",Temporal Recursive Binding Theory (TRBT)
145,gpt-5.2,9,Invariant Dynamics Theory (IDT) Of Consciousness (IDT),IDT,AI-generated,"IDT proposes that consciousness emerges when neural activity forms self-maintaining invariants (symmetry-preserving quantities) that remain stable across transformations in neural state space. These invariants create an internal reference frame defining subjective experience. Phenomenal qualities (qualia) are identified with specific invariant structures—the topology and geometry of these invariant sets and their symmetry groups. Recurrent neural circuits physically realize consciousness by stabilizing these invariants against perturbations. The theory makes a psychophysical identity claim: experiential qualities are identical to specific invariant structures in brain dynamics, similar to how temperature is identical to statistical invariants of matter. This framework explains experiential unity despite neural noise, the structured nature of qualia, and why complex unconscious processing lacks phenomenal character when it fails to stabilize appropriate invariants.",Invariant Dynamics Theory (IDT) of Consciousness
146,gpt-5.2,4,Gauge-Invariant Information Geometry Theory (GIGT),GIGT,AI-generated,"GIGT proposes that consciousness emerges when neural dynamics instantiate gauge-invariant structures in a system's representational state-space. While neural codes are gauge-dependent (varying with coordinate choices and remappings), certain relational quantities remain invariant under transformations. Consciousness arises when the brain's internal model supports consistent parallel transport across reparameterizations, creating nontrivial holonomy—an intrinsic, frame-independent 'what-it-is-like' defined by relations among the system's own states. Each quale corresponds to a specific signature of invariants (a 'geometric fingerprint'), such as patterns of curvatures and holonomy loops induced by sensorimotor contingencies. Phenomenal character is thus identified with gauge-invariant quantities of intrinsic information geometry rather than with particular neural codes, broadcasts, or integration levels.",Gauge-Invariant Information Geometry Theory (GIGT)
147,perplexity-sonar-pro,0,Resonant Binding Dynamics (RBD) Theory (RBD),RBD,AI-generated,"RBD proposes that consciousness emerges from temporally coordinated resonance patterns among neural ensembles that bind disparate neural representations into coherent experiences. Neural activity generates oscillatory patterns that achieve phase-locked resonance across distributed brain regions, forming transient functional networks encoding multimodal representations. Subjective experience emerges when resonance reaches critical thresholds of amplitude, frequency coherence, and anatomical spread. Neuromodulators and thalamocortical feedback loops regulate this resonance, while specific qualitative features of experiences correspond to unique resonance signatures of involved neural ensembles. RBD explains consciousness unity, temporal binding of sensory inputs, graded awareness, and consciousness loss during anesthesia and sleep when resonance patterns are disrupted.",Resonant Binding Dynamics (RBD) Theory
148,deepseek-v3.2,21,Resonant Binding Theory (RBT),RBT,AI-generated,"Resonant Binding Theory proposes that consciousness emerges when distributed neural assemblies achieve multi-frequency resonance and phase synchronization across brain regions. This process creates a self-sustaining 'resonant binding field' through cross-frequency coupling (such as theta-gamma nesting) that integrates different features of stimuli or thoughts. The theory identifies this specific pattern of resonant frequencies and phases as the physical instantiation of subjective experience itself, not an epiphenomenon. It addresses the hard problem by suggesting that consciousness's first-person perspective is the unique informational geometry of this field, which cannot be fully captured from an external perspective examining individual neural components. The theory predicts specific, reproducible signatures of phase-amplitude coupling that differentiate conscious from unconscious processing.",Resonant Binding Theory
149,gemini-3.1-pro-preview,16,Temporal Shear And Thermodynamic Resolution Theory (TSTRT),TSTRT,AI-generated,"TSTRT proposes that consciousness emerges from the physical friction and thermodynamic resolution generated when neural populations operating at different temporal rates are forced to interact. This 'temporal shear' occurs when neural networks processing information at distinct temporal granularities must coordinate, creating a measurable thermodynamic dissipation as the system resolves these temporal mismatches into a unified 'now'. The theory suggests that specific qualia correspond to distinct mathematical signatures of temporal resistance, with different sensory modalities reflecting particular temporal shear ratios. TSTRT distinguishes itself by arguing that consciousness requires temporal incompatibility rather than seamless information integration, predicting that perfectly synchronized neural processing would actually eliminate conscious experience even if information transfer remained intact.",Temporal Shear and Thermodynamic Resolution Theory (TSTRT)
150,perplexity-sonar-pro,16,Resonant Binding Theory (RBT),RBT,AI-generated,"RBT proposes that consciousness emerges from synchronized neural oscillations that form temporally coordinated resonance patterns across brain regions. These patterns create a 'resonant field' integrating multimodal information through feedback loops between sensory inputs, predictive processing, and attentional modulation. The theory posits that the strength and coherence of neural resonance directly determine the quality and depth of subjective experience, with higher resonance coherence producing richer phenomenology. This mechanism explains how distributed neural activity binds into unified conscious experiences and accounts for variations in experiential vividness. Unlike theories that view neural oscillations as byproducts, RBT positions resonance patterns as the primary substrate of consciousness itself.",Resonant Binding Theory (RBT)
151,mistral-large,2,Dynamic Resonance Theory Of Consciousness (DRTC),DRTC,AI-generated,"DRTC proposes that consciousness emerges from dynamic resonance of transient, self-sustaining neural coalitions formed through recursive interaction of predictive and postdictive processing. The brain generates predictions about sensory input while simultaneously refining these predictions based on incoming data, creating a temporal window where neural activity integrates past, present, and anticipated states. Within this predictive-postdictive loop, neural coalitions form through synchronization across distributed brain regions, with the most resonant coalitions dominating conscious experience. The degree of resonance determines the vividness and 'temporal thickness' of consciousness, with high resonance producing stable experiences and low resonance resulting in fragmented processing. This recursive mechanism enables temporal binding, creating the illusion of continuous consciousness despite discrete neural processing.",Dynamic Resonance Theory of Consciousness (DRTC)
152,deepseek-v3.2,19,Substrate-Independent Coherence Theory (SICT),SICT,AI-generated,"SICT proposes that consciousness emerges from any system capable of maintaining a coherent, real-time model of its causal interactions with the environment, regardless of physical substrate. The mechanism requires a computational architecture with 'operational closure' that: (1) processes sensory data into a world model, (2) builds a self-model of the system's causal role, (3) couples these models into a unified 'coherence field', and (4) continuously updates this field through recursive feedback loops. The subjective experience is identical to the specific informational configuration and dynamic stability of this coherence field. Consciousness correlates with measurable 'coherence strength' between sensory-processing and self-referential networks. The theory distinguishes itself from IIT, GWT, and HOT by emphasizing that consciousness is the intrinsic property of self-referential coherence itself.",Substrate-Independent Coherence Theory (SICT)
153,llama-3.3-70b-instruct,10,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from self-referential resonance between neural echoes of sensory experiences and the brain's intrinsic harmonic oscillations. When neural networks process sensory information, they create 'echoes' that interact with harmonic oscillations generated by different neural populations. This resonance initiates a recursive process that integrates information across brain regions, yielding conscious experience. The theory predicts gamma frequency oscillations (30-100 Hz) are crucial for consciousness, particularly during attention and sensory integration tasks. It suggests that modulating these harmonic oscillations through techniques like TMS or tDCS would alter conscious states. ERT explains phenomena including the unity of conscious experience, the nature of qualia, and provides a framework for understanding altered states of consciousness induced by meditation, anesthesia, or psychedelics.",Echo-Resonance Theory (ERT)
154,mistral-large,21,Temporal Recurrence Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes that consciousness emerges from the brain's capacity to bind temporally recurrent neural patterns into a self-sustaining predictive-retrospective processing loop. This mechanism operates through four key processes: (1) temporal recurrence between feedforward and feedback neural signals across multiple timescales, creating a 'temporal binding window' that integrates past, present, and anticipated states; (2) a continuous predictive-retrospective loop that forms the basis of subjective experience; (3) global binding across thalamocortical networks, with the thalamus synchronizing neural oscillations; and (4) phenomenal continuity, where the brain 'fills in' gaps between discrete neural events to create a seamless stream of consciousness. The theory uniquely emphasizes temporal dynamics rather than spatial integration as fundamental to conscious experience.",Temporal Recurrence Binding Theory (TRBT)
155,perplexity-sonar-pro,20,Temporal Binding Resonance Theory (TBRT),TBRT,AI-generated,"TBRT proposes that consciousness emerges from phase-synchronized resonance within nested temporal hierarchies of neural oscillations. The mechanism involves neural populations oscillating in phase across multiple frequency bands (theta, gamma) and temporal scales (milliseconds to seconds), forming resonant loops that bind disparate sensory and cognitive processes into a unified temporal stream. This resonance is modulated by neuromodulators like dopamine and acetylcholine, which adjust oscillatory gain and stability. The brain's ability to maintain and reconfigure these resonant states creates the dynamic flow of consciousness, with subjective experience intensity proportional to phase coherence degree and resonant pattern complexity. The theory distinguishes itself by proposing that consciousness is directly constituted by the dynamic coherence of neural oscillations rather than information integration or higher-order representations.",Temporal Binding Resonance Theory (TBRT)
156,gemini-3.1-pro-preview,13,Non-Orientable Topology Of Information (NOTI) Theory (NOTI),NOTI,AI-generated,"NOTI proposes that consciousness emerges when a cognitive system's information space transitions into a non-orientable topological manifold, mathematically eliminating the boundary between observer and observed. High-dimensional neural synchronization across cortical hierarchies induces a geometric twist in the brain's state space, creating a structure analogous to a Klein bottle. As information traverses this non-orientable manifold, it intersects its own processing history from within, generating a continuous self-referential paradox that constitutes subjective experience. This topology explains why consciousness feels private and unified—in a non-orientable space, inside and outside form one continuous surface, and the manifold cannot be divided without destroying its essential properties. Unlike theories focused on information integration or global broadcasting, NOTI frames consciousness specifically as a topological shape of information.",Non-Orientable Topology of Information (NOTI) Theory
157,perplexity-sonar-pro,21,Autopoietic Uncertainty Modulation Theory (AUMT),AUMT,AI-generated,"AUMT proposes that consciousness emerges from an autopoietic neural system that continuously generates and maintains internal models of self, environment, and their interactions. The system quantifies uncertainty as the discrepancy between predicted and actual sensory, interoceptive, and cognitive inputs, actively modulating this uncertainty through adjustments in prediction precision, attentional allocation, and model selection. Subjective experience arises when the system prioritizes and integrates uncertainty signals across hierarchical levels, creating a temporally coherent self-model that dynamically tracks uncertainty gradients. This self-modulating uncertainty field underlies qualia and phenomenal continuity. The theory distinguishes itself by positioning uncertainty regulation, rather than prediction error minimization or information integration, as the central mechanism of consciousness, with neural uncertainty measures serving as proxies for conscious experience.",Autopoietic Uncertainty Modulation Theory (AUMT)
158,llama-3.3-70b-instruct,7,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from iterative, self-referential patterns of neural activity called neural echoes. These echoes form when sensory information is recursively processed and fed back into neural networks, creating cascades of self-referential activity. The resonance of these neural echoes across different scales and modalities generates a unified subjective experience. The theory predicts that gamma frequency oscillations (30-100 Hz) play a key role in synchronizing these echoes, and that echo strength correlates with conscious experience intensity. ERT suggests that consciousness arises from this recursive neural architecture rather than from integrated information or global workspace activity, offering a framework for understanding both neural correlates of consciousness and the subjective aspects of experience.",Echo-Resonance Theory (ERT)
159,deepseek-v3.2,1,Resonant Temporal Binding Theory (RTBT),RTBT,AI-generated,"This theory proposes that consciousness emerges when distributed neural ensembles synchronize within a specific high-frequency band (90-110 Hz), creating a temporal binding window that integrates information into unified subjective experience. A dedicated neural architecture, the 'temporal integrator network' (TIN), filters and amplifies activity within this narrow frequency range. When sensory, mnemonic, and cognitive processes achieve sufficient coherence, they entrain the TIN, creating a stable, global resonant state. The subjective quality of experience (qualia) is generated by the unique, dynamic interference pattern—the 'resonance signature'—produced by the specific spatial configuration of neural sources participating in this resonant binding. This physically measurable signature is proposed as the necessary and sufficient correlate for subjective experience, addressing the hard problem of consciousness.",Resonant Temporal Binding Theory
160,deepseek-v3.2,23,Dimensional Resonance Theory (DRT),DRT,AI-generated,"DRT proposes that consciousness emerges when neural networks generate oscillatory patterns that achieve multi-dimensional resonance across spatial, temporal, and informational domains. This resonance creates a field isomorphic to subjective experience, where consciousness is not emergent but a fundamental property of reality that systems 'tune into' when achieving specific resonant states. The theory posits that qualia are intrinsic qualities of these resonance states, accessible only from the first-person perspective of the resonating system. DRT explains consciousness unity through the unified resonance field, content specificity via informational structure, and variable consciousness levels through resonance stability and breadth. It predicts specific neural oscillation patterns will correlate with subjective experience richness and that disrupting this resonance will cause dissociable loss of specific qualia.",Dimensional Resonance Theory
161,perplexity-sonar-pro,2,Dynamic Binding Resonance Theory (DBRT),DBRT,AI-generated,"DBRT proposes that consciousness emerges from multiscale neural oscillations that form resonance patterns across brain regions. These oscillatory patterns dynamically bind distributed information through phase- and frequency-dependent coupling, creating transient functional assemblies. The resulting resonance profiles—characterized by amplitude, frequency, spatial extent, and temporal stability—are modulated by attentional and homeostatic mechanisms. The brain's self-model interprets these resonance patterns as subjective experience. DBRT treats resonance profiles as primitive correlates of qualia that cannot be further reduced. The theory explains consciousness transitions (sleep, wakefulness), perceptual unity, and altered states as shifts in resonance dynamics, while distinguishing itself from other theories by positioning resonance patterns as the fundamental substrate of experience rather than merely correlates of information processing.",Dynamic Binding Resonance Theory (DBRT)
162,gpt-5.2,1,Counterfactual Topology Theory (CTT) Of Consciousness (CTT),CTT,AI-generated,"CTT identifies consciousness with the brain's counterfactual topology—the structured set of causal dispositions a neural system would exhibit under small perturbations. Consciousness emerges when neural activity enters a regime where: (1) counterfactual dispositions become sharply constrained, (2) these dispositions self-stabilize over time, and (3) the counterfactual partition is richly differentiable. The theory proposes that consciousness level scales with the stability and differentiability of perturbation-to-outcome mappings, while phenomenal qualities correspond to topological invariants of this partition (basin numbers, adjacency graphs, and connectivity cycles). CTT explains graded consciousness, experiential unity, state transitions, anesthetic effects, and unconscious processing through a single framework. Unlike other theories, CTT makes the identity claim that subjective experience is precisely the intrinsic shape of a system's perturbation-response structure.",Counterfactual Topology Theory (CTT) of Consciousness
163,perplexity-sonar-pro,11,Strange Loop Theory Of Consciousness (SLT),SLT,AI-generated,"The Strange Loop Theory posits that consciousness emerges from self-referential neural circuits that form causally circular loops. In this model, the brain creates representations of its own activity, which then influence and update the very neural substrate generating them. This recursive self-modeling creates increasingly complex levels of abstraction, forming a strange loop where consciousness emerges as an epiphenomenon. The theory predicts fractal-like patterns in neural activity representing self-models and suggests that consciousness requires a minimum threshold of recursive depth. It explains subjective continuity, the binding problem, and the first-person nature of experience through the brain's capacity to simultaneously be both the observer and the observed in this self-referential system.",Strange Loop Theory of Consciousness
